Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0145
2.9000,0.1000,0.0099
2.8000,0.1000,0.0142
2.7000,0.1000,0.0096
2.6000,0.1000,0.0150
2.5000,0.1000,0.0206
2.4000,0.1000,0.0171
2.3000,0.1000,0.0178
2.2000,0.1000,0.0204
2.1000,0.1000,0.0119
2.0000,0.1000,0.0161
1.9000,0.1000,0.0280
1.8000,0.1000,0.0353
1.7000,0.1000,0.0498
1.6000,0.1000,0.0971
1.5000,0.1000,0.2134
1.4000,0.1000,0.5054
1.3000,0.1000,0.7601
1.2000,0.1000,0.8180
1.1000,0.1000,0.8660
1.0000,0.1000,0.8804
0.9000,0.1000,0.8890
0.8000,0.1000,0.8930
0.7000,0.1000,0.8952
0.6000,0.1000,0.8963
3.0000,0.2000,0.0100
2.9000,0.2000,0.0091
2.8000,0.2000,0.0144
2.7000,0.2000,0.0137
2.6000,0.2000,0.0138
2.5000,0.2000,0.0137
2.4000,0.2000,0.0193
2.3000,0.2000,0.0166
2.2000,0.2000,0.0212
2.1000,0.2000,0.0219
2.0000,0.2000,0.0278
1.9000,0.2000,0.0294
1.8000,0.2000,0.0355
1.7000,0.2000,0.0460
1.6000,0.2000,0.1109
1.5000,0.2000,0.2672
1.4000,0.2000,0.4903
1.3000,0.2000,0.7302
1.2000,0.2000,0.8421
1.1000,0.2000,0.8677
1.0000,0.2000,0.8794
0.9000,0.2000,0.8888
0.8000,0.2000,0.8930
0.7000,0.2000,0.8951
0.6000,0.2000,0.8963
3.0000,0.3000,0.0105
2.9000,0.3000,0.0133
2.8000,0.3000,0.0100
2.7000,0.3000,0.0127
2.6000,0.3000,0.0157
2.5000,0.3000,0.0129
2.4000,0.3000,0.0145
2.3000,0.3000,0.0219
2.2000,0.3000,0.0204
2.1000,0.3000,0.0233
2.0000,0.3000,0.0166
1.9000,0.3000,0.0391
1.8000,0.3000,0.0323
1.7000,0.3000,0.0554
1.6000,0.3000,0.1071
1.5000,0.3000,0.2308
1.4000,0.3000,0.4889
1.3000,0.3000,0.7367
1.2000,0.3000,0.8367
1.1000,0.3000,0.8614
1.0000,0.3000,0.8800
0.9000,0.3000,0.8885
0.8000,0.3000,0.8929
0.7000,0.3000,0.8950
0.6000,0.3000,0.8963
3.0000,0.4000,0.0088
2.9000,0.4000,0.0112
2.8000,0.4000,0.0143
2.7000,0.4000,0.0096
2.6000,0.4000,0.0119
2.5000,0.4000,0.0199
2.4000,0.4000,0.0162
2.3000,0.4000,0.0216
2.2000,0.4000,0.0238
2.1000,0.4000,0.0210
2.0000,0.4000,0.0245
1.9000,0.4000,0.0272
1.8000,0.4000,0.0494
1.7000,0.4000,0.0444
1.6000,0.4000,0.1033
1.5000,0.4000,0.2094
1.4000,0.4000,0.5386
1.3000,0.4000,0.7610
1.2000,0.4000,0.8179
1.1000,0.4000,0.8655
1.0000,0.4000,0.8804
0.9000,0.4000,0.8890
0.8000,0.4000,0.8930
0.7000,0.4000,0.8952
0.6000,0.4000,0.8963
3.0000,0.5000,0.0090
2.9000,0.5000,0.0131
2.8000,0.5000,0.0112
2.7000,0.5000,0.0156
2.6000,0.5000,0.0152
2.5000,0.5000,0.0138
2.4000,0.5000,0.0182
2.3000,0.5000,0.0163
2.2000,0.5000,0.0216
2.1000,0.5000,0.0238
2.0000,0.5000,0.0296
1.9000,0.5000,0.0267
1.8000,0.5000,0.0331
1.7000,0.5000,0.0535
1.6000,0.5000,0.0931
1.5000,0.5000,0.2563
1.4000,0.5000,0.3738
1.3000,0.5000,0.7471
1.2000,0.5000,0.8218
1.1000,0.5000,0.8665
1.0000,0.5000,0.8813
0.9000,0.5000,0.8893
0.8000,0.5000,0.8928
0.7000,0.5000,0.8951
0.6000,0.5000,0.8963
3.0000,0.6000,0.0090
2.9000,0.6000,0.0102
2.8000,0.6000,0.0098
2.7000,0.6000,0.0100
2.6000,0.6000,0.0079
2.5000,0.6000,0.0084
2.4000,0.6000,0.0100
2.3000,0.6000,0.0171
2.2000,0.6000,0.0175
2.1000,0.6000,0.0127
2.0000,0.6000,0.0142
1.9000,0.6000,0.0137
1.8000,0.6000,0.0195
1.7000,0.6000,0.0181
1.6000,0.6000,0.0207
1.5000,0.6000,0.0124
1.4000,0.6000,0.0097
1.3000,0.6000,0.0148
1.2000,0.6000,0.0097
1.1000,0.6000,0.0140
1.0000,0.6000,0.0108
0.9000,0.6000,0.0166
0.8000,0.6000,0.0241
0.7000,0.6000,0.2563
0.6000,0.6000,0.7069
3.0000,0.7000,0.0077
2.9000,0.7000,0.0079
2.8000,0.7000,0.0097
2.7000,0.7000,0.0101
2.6000,0.7000,0.0107
2.5000,0.7000,0.0097
2.4000,0.7000,0.0147
2.3000,0.7000,0.0129
2.2000,0.7000,0.0128
2.1000,0.7000,0.0144
2.0000,0.7000,0.0154
1.9000,0.7000,0.0150
1.8000,0.7000,0.0132
1.7000,0.7000,0.0115
1.6000,0.7000,0.0097
1.5000,0.7000,0.0091
1.4000,0.7000,0.0118
1.3000,0.7000,0.0089
1.2000,0.7000,0.0093
1.1000,0.7000,0.0134
1.0000,0.7000,0.0184
0.9000,0.7000,0.0232
0.8000,0.7000,0.0259
0.7000,0.7000,0.0604
0.6000,0.7000,0.3805
3.0000,0.8000,0.0061
2.9000,0.8000,0.0093
2.8000,0.8000,0.0082
2.7000,0.8000,0.0069
2.6000,0.8000,0.0105
2.5000,0.8000,0.0101
2.4000,0.8000,0.0099
2.3000,0.8000,0.0098
2.2000,0.8000,0.0108
2.1000,0.8000,0.0116
2.0000,0.8000,0.0101
1.9000,0.8000,0.0088
1.8000,0.8000,0.0123
1.7000,0.8000,0.0114
1.6000,0.8000,0.0111
1.5000,0.8000,0.0079
1.4000,0.8000,0.0077
1.3000,0.8000,0.0098
1.2000,0.8000,0.0074
1.1000,0.8000,0.0139
1.0000,0.8000,0.0144
0.9000,0.8000,0.0181
0.8000,0.8000,0.0297
0.7000,0.8000,0.0397
0.6000,0.8000,0.1682
3.0000,0.9000,0.0079
2.9000,0.9000,0.0059
2.8000,0.9000,0.0087
2.7000,0.9000,0.0074
2.6000,0.9000,0.0072
2.5000,0.9000,0.0101
2.4000,0.9000,0.0091
2.3000,0.9000,0.0081
2.2000,0.9000,0.0105
2.1000,0.9000,0.0118
2.0000,0.9000,0.0089
1.9000,0.9000,0.0095
1.8000,0.9000,0.0097
1.7000,0.9000,0.0106
1.6000,0.9000,0.0100
1.5000,0.9000,0.0087
1.4000,0.9000,0.0054
1.3000,0.9000,0.0119
1.2000,0.9000,0.0079
1.1000,0.9000,0.0149
1.0000,0.9000,0.0137
0.9000,0.9000,0.0230
0.8000,0.9000,0.0341
0.7000,0.9000,0.0440
0.6000,0.9000,0.1080
3.0000,1.0000,0.0073
2.9000,1.0000,0.0070
2.8000,1.0000,0.0087
2.7000,1.0000,0.0072
2.6000,1.0000,0.0119
2.5000,1.0000,0.0068
2.4000,1.0000,0.0092
2.3000,1.0000,0.0092
2.2000,1.0000,0.0075
2.1000,1.0000,0.0131
2.0000,1.0000,0.0108
1.9000,1.0000,0.0077
1.8000,1.0000,0.0115
1.7000,1.0000,0.0081
1.6000,1.0000,0.0082
1.5000,1.0000,0.0094
1.4000,1.0000,0.0102
1.3000,1.0000,0.0113
1.2000,1.0000,0.0091
1.1000,1.0000,0.0137
1.0000,1.0000,0.0147
0.9000,1.0000,0.0190
0.8000,1.0000,0.0287
0.7000,1.0000,0.0366
0.6000,1.0000,0.0857
3.0000,1.1000,0.0063
2.9000,1.1000,0.0071
2.8000,1.1000,0.0080
2.7000,1.1000,0.0084
2.6000,1.1000,0.0078
2.5000,1.1000,0.0096
2.4000,1.1000,0.0076
2.3000,1.1000,0.0088
2.2000,1.1000,0.0074
2.1000,1.1000,0.0096
2.0000,1.1000,0.0096
1.9000,1.1000,0.0083
1.8000,1.1000,0.0094
1.7000,1.1000,0.0076
1.6000,1.1000,0.0079
1.5000,1.1000,0.0086
1.4000,1.1000,0.0090
1.3000,1.1000,0.0081
1.2000,1.1000,0.0083
1.1000,1.1000,0.0141
1.0000,1.1000,0.0156
0.9000,1.1000,0.0127
0.8000,1.1000,0.0140
