Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0065
2.9000,0.1000,0.0078
2.8000,0.1000,0.0078
2.7000,0.1000,0.0106
2.6000,0.1000,0.0090
2.5000,0.1000,0.0107
2.4000,0.1000,0.0117
2.3000,0.1000,0.0155
2.2000,0.1000,0.0195
2.1000,0.1000,0.0131
2.0000,0.1000,0.0122
1.9000,0.1000,0.0150
1.8000,0.1000,0.0198
1.7000,0.1000,0.0169
1.6000,0.1000,0.0232
1.5000,0.1000,0.0236
1.4000,0.1000,0.0608
1.3000,0.1000,0.0810
1.2000,0.1000,0.1610
1.1000,0.1000,0.3569
1.0000,0.1000,0.6380
0.9000,0.1000,0.7294
0.8000,0.1000,0.7652
0.7000,0.1000,0.7816
0.6000,0.1000,0.7882
3.0000,0.2000,0.0099
2.9000,0.2000,0.0097
2.8000,0.2000,0.0090
2.7000,0.2000,0.0077
2.6000,0.2000,0.0076
2.5000,0.2000,0.0079
2.4000,0.2000,0.0121
2.3000,0.2000,0.0113
2.2000,0.2000,0.0146
2.1000,0.2000,0.0130
2.0000,0.2000,0.0132
1.9000,0.2000,0.0171
1.8000,0.2000,0.0187
1.7000,0.2000,0.0296
1.6000,0.2000,0.0309
1.5000,0.2000,0.0459
1.4000,0.2000,0.0462
1.3000,0.2000,0.0724
1.2000,0.2000,0.1596
1.1000,0.2000,0.3762
1.0000,0.2000,0.6632
0.9000,0.2000,0.7336
0.8000,0.2000,0.7665
0.7000,0.2000,0.7816
0.6000,0.2000,0.7882
3.0000,0.3000,0.0069
2.9000,0.3000,0.0084
2.8000,0.3000,0.0090
2.7000,0.3000,0.0104
2.6000,0.3000,0.0111
2.5000,0.3000,0.0115
2.4000,0.3000,0.0125
2.3000,0.3000,0.0101
2.2000,0.3000,0.0115
2.1000,0.3000,0.0153
2.0000,0.3000,0.0162
1.9000,0.3000,0.0165
1.8000,0.3000,0.0162
1.7000,0.3000,0.0225
1.6000,0.3000,0.0272
1.5000,0.3000,0.0386
1.4000,0.3000,0.0608
1.3000,0.3000,0.0767
1.2000,0.3000,0.1535
1.1000,0.3000,0.2381
1.0000,0.3000,0.6381
0.9000,0.3000,0.7294
0.8000,0.3000,0.7652
0.7000,0.3000,0.7816
0.6000,0.3000,0.7882
3.0000,0.4000,0.0073
2.9000,0.4000,0.0079
2.8000,0.4000,0.0071
2.7000,0.4000,0.0101
2.6000,0.4000,0.0110
2.5000,0.4000,0.0116
2.4000,0.4000,0.0125
2.3000,0.4000,0.0118
2.2000,0.4000,0.0126
2.1000,0.4000,0.0122
2.0000,0.4000,0.0144
1.9000,0.4000,0.0132
1.8000,0.4000,0.0185
1.7000,0.4000,0.0203
1.6000,0.4000,0.0254
1.5000,0.4000,0.0369
1.4000,0.4000,0.0516
1.3000,0.4000,0.0894
1.2000,0.4000,0.1719
1.1000,0.4000,0.3242
1.0000,0.4000,0.5706
0.9000,0.4000,0.6929
0.8000,0.4000,0.7719
0.7000,0.4000,0.7811
0.6000,0.4000,0.7894
3.0000,0.5000,0.0073
2.9000,0.5000,0.0085
2.8000,0.5000,0.0068
2.7000,0.5000,0.0082
2.6000,0.5000,0.0093
2.5000,0.5000,0.0127
