Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0081
2.9000,0.1000,0.0106
2.8000,0.1000,0.0107
2.7000,0.1000,0.0113
2.6000,0.1000,0.0163
2.5000,0.1000,0.0143
2.4000,0.1000,0.0160
2.3000,0.1000,0.0159
2.2000,0.1000,0.0200
2.1000,0.1000,0.0215
2.0000,0.1000,0.0209
1.9000,0.1000,0.0190
1.8000,0.1000,0.0265
1.7000,0.1000,0.0391
1.6000,0.1000,0.0783
1.5000,0.1000,0.1319
1.4000,0.1000,0.4052
1.3000,0.1000,0.7529
1.2000,0.1000,0.8440
1.1000,0.1000,0.8738
1.0000,0.1000,0.8845
0.9000,0.1000,0.8904
0.8000,0.1000,0.8937
0.7000,0.1000,0.8951
0.6000,0.1000,0.8960
3.0000,0.2000,0.0129
2.9000,0.2000,0.0101
2.8000,0.2000,0.0113
2.7000,0.2000,0.0143
2.6000,0.2000,0.0131
2.5000,0.2000,0.0110
2.4000,0.2000,0.0150
2.3000,0.2000,0.0191
2.2000,0.2000,0.0163
2.1000,0.2000,0.0195
2.0000,0.2000,0.0204
1.9000,0.2000,0.0280
1.8000,0.2000,0.0296
1.7000,0.2000,0.0380
1.6000,0.2000,0.0813
1.5000,0.2000,0.1522
1.4000,0.2000,0.3737
1.3000,0.2000,0.7447
1.2000,0.2000,0.8438
1.1000,0.2000,0.8706
1.0000,0.2000,0.8821
0.9000,0.2000,0.8908
0.8000,0.2000,0.8935
0.7000,0.2000,0.8952
0.6000,0.2000,0.8960
3.0000,0.3000,0.0092
2.9000,0.3000,0.0117
2.8000,0.3000,0.0111
2.7000,0.3000,0.0134
2.6000,0.3000,0.0129
2.5000,0.3000,0.0142
2.4000,0.3000,0.0130
2.3000,0.3000,0.0167
2.2000,0.3000,0.0143
2.1000,0.3000,0.0145
2.0000,0.3000,0.0227
1.9000,0.3000,0.0194
1.8000,0.3000,0.0304
1.7000,0.3000,0.0553
1.6000,0.3000,0.0708
1.5000,0.3000,0.1867
1.4000,0.3000,0.3128
1.3000,0.3000,0.6797
1.2000,0.3000,0.8405
1.1000,0.3000,0.8623
1.0000,0.3000,0.8830
0.9000,0.3000,0.8901
0.8000,0.3000,0.8936
0.7000,0.3000,0.8952
