DefectFraction,Temperature,Avg_Critical_H0,Std_Dev_H0
0,0.2,2,0
0,0.4,1.99,0.0210819
0,0.6,1.63,0.0537484
0,0.8,1.295,0.086442
0,1,0.975,0.0589256
0,1.2,0.8,0.0745356
0,1.4,0.575,0.0485913
0,1.6,0.44,0.0699206
0,1.8,0.355,0.0598609
0,2,0.26,0.0658281
0,2.2,0.175,0.0353553
0.1,0.2,2,0
0.1,0.4,2,0
0.1,0.6,2,0
0.1,0.8,2,0
0.1,1,2,0
0.1,1.2,2,0
0.1,1.4,2,0
0.1,1.6,2,0
0.1,1.8,2,0
0.1,2,2,0
0.1,2.2,2,0
0.2,0.2,2,0
0.2,0.4,2,0
0.2,0.6,2,0
0.2,0.8,2,0
0.2,1,2,0
0.2,1.2,2,0
0.2,1.4,2,0
0.2,1.6,2,0
0.2,1.8,2,0
0.2,2,2,0
0.2,2.2,2,0
0.3,0.2,2,0
0.3,0.4,2,0
0.3,0.6,2,0
0.3,0.8,2,0
0.3,1,2,0
0.3,1.2,2,0
0.3,1.4,2,0
0.3,1.6,2,0
0.3,1.8,2,0
0.3,2,2,0
0.3,2.2,2,0
