Temperature,Energy,HeatCapacity,Magnetization,Susceptibility
5.0000,-0.4569,0.1194,0.3431,0.1848
4.9000,-0.4688,0.1269,0.3481,0.1924
4.8000,-0.4816,0.1349,0.3537,0.2005
4.7000,-0.4954,0.1434,0.3598,0.2091
4.6000,-0.5103,0.1534,0.3662,0.2187
4.5000,-0.5264,0.1642,0.3732,0.2293
4.4000,-0.5431,0.1765,0.3808,0.2404
4.3000,-0.5616,0.1898,0.3890,0.2521
4.2000,-0.5818,0.2046,0.3982,0.2650
4.1000,-0.6027,0.2216,0.4078,0.2786
4.0000,-0.6262,0.2400,0.4186,0.2932
3.9000,-0.6506,0.2616,0.4296,0.3095
3.8000,-0.6784,0.2850,0.4427,0.3265
3.7000,-0.7075,0.3116,0.4561,0.3443
3.6000,-0.7389,0.3413,0.4710,0.3628
3.5000,-0.7766,0.3762,0.4886,0.3834
3.4000,-0.8155,0.4139,0.5069,0.4035
3.3000,-0.8605,0.4564,0.5285,0.4234
3.2000,-0.9080,0.5017,0.5504,0.4436
3.1000,-0.9593,0.5504,0.5743,0.4617
3.0000,-1.0171,0.6024,0.6013,0.4769
2.9000,-1.0789,0.6551,0.6299,0.4876
2.8000,-1.1471,0.7080,0.6613,0.4922
2.7000,-1.2218,0.7540,0.6949,0.4883
2.6000,-1.2966,0.7912,0.7283,0.4755
2.5000,-1.3790,0.8125,0.7646,0.4486
2.4000,-1.4607,0.8146,0.7999,0.4109
2.3000,-1.5413,0.7950,0.8336,0.3647
2.2000,-1.6204,0.7473,0.8662,0.3071
2.1000,-1.6909,0.6845,0.8942,0.2511
2.0000,-1.7559,0.6030,0.9192,0.1945
1.9000,-1.8111,0.5180,0.9395,0.1459
1.8000,-1.8585,0.4271,0.9563,0.1030
1.7000,-1.8972,0.3407,0.9694,0.0699
1.6000,-1.9277,0.2645,0.9792,0.0457
1.5000,-1.9508,0.1987,0.9862,0.0289
1.4000,-1.9681,0.1447,0.9913,0.0179
1.3000,-1.9802,0.1016,0.9947,0.0106
1.2000,-1.9885,0.0680,0.9970,0.0061
1.1000,-1.9940,0.0413,0.9985,0.0032
1.0000,-1.9971,0.0235,0.9993,0.0016
0.9000,-1.9989,0.0115,0.9997,0.0007
0.8000,-1.9996,0.0048,0.9999,0.0002
0.7000,-1.9999,0.0015,1.0000,0.0001
0.6000,-2.0000,0.0003,1.0000,0.0000
0.5000,-2.0000,0.0000,1.0000,0.0000
